1020,40.44,42.49
1028,60.47,63.86
1035,70.77,74.64
1042,75.91,80.07
1049,78.41,82.84
1057,79.73,84.1
1064,80.09,84.44
1072,80.46,84.9
1079,81,85.74
1086,81.3,86.76
1093,80.82,87.28
1100,80.68,87.07
1108,81.19,85.63
1116,81.19,84.25
1123,80.94,83.49
1130,80.73,84.01
1137,80.47,85.12
1144,80.54,86.66
1153,80.62,87.93
1160,80.62,87.98
1167,80.69,86.84
1174,80.65,85.87
1181,80.75,85.46
1188,80.78,85.53
1196,80.82,85.51
1204,80.77,85.43
1211,80.79,85.35
1218,80.78,85.62
1225,80.79,85.81
1232,80.82,85.83
1240,80.82,85.9
1248,80.95,85.98
1255,80.78,85.97
1262,80.64,85.5
1269,80.86,85.5
1276,80.93,85.53
1284,80.72,85.61
1291,80.68,85.41
1299,80.65,85.5
1306,80.52,85.25
1313,80.55,85.3
1320,80.62,85.63
1328,80.51,85.43
1335,80.57,85.7
1343,80.68,85.79
1350,80.53,85.79
1357,80.58,85.4
1364,80.73,85.24
1372,80.65,84.72
1379,80.46,84.6
1386,80.58,84.85
1394,80.49,85.29
1401,80.45,85.97
1409,80.64,86.12
1416,80.66,85.69
1423,80.58,85.12
1430,80.42,84.8
1438,80.23,85.07
1445,80.49,85.37
1453,80.55,85.66
1460,80.45,85.64
1467,80.37,85.43
1474,80.25,85.44
1481,80.29,85.41
1489,80.28,85.31
1497,80.27,85.23
1504,80.39,85.11
1511,80.43,85.15
1518,80.34,85.17
1525,80.32,85.36
1532,80.11,85.4
1541,79.96,85.36
1548,79.9,85.41
1555,79.81,85.4
1562,79.79,85.26
1569,79.78,85.14
1576,79.86,84.9
1585,79.88,84.95
1592,79.8,85.1
1599,79.78,85.08
1606,79.59,84.93
1613,79.54,84.68
1620,79.61,84.25
1629,79.53,84.06
1636,79.54,84.36
1643,79.63,84.54
1650,79.66,84.52
1657,79.62,84.44
1665,79.48,84.4
1672,79.36,84.11
1680,79.49,84.06
1687,79.4,84.03
1694,79.34,84.25
1701,79.09,84.27
1709,78.95,84.24
1716,78.91,84.12
1724,78.71,84.25
1731,78.5,84.35
1738,78.6,84.5
1745,78.73,84.52
