3001,581245
3002,581245
3004,580323
3006,581326
3008,580826
3009,580644
3011,581548
3013,580502
3015,581605
3017,581086
3019,580926
3021,581848
3023,580914
3025,581954
3027,581418
3030,581296
3032,582173
3034,581218
3036,582313
3038,581695
3040,581669
3042,582589
3044,582697
3046,582056
3049,582033
3051,582947
3053,581962
3055,583113
3057,582477
3059,582426
3062,583333
3064,583477
3066,582867
3068,582747
3070,583717
3073,582762
3075,583848
3078,583235
3080,583197
3082,584098
3084,583110
3086,583588
3088,583585
3091,584514
3093,583523
3095,584669
3097,584040
3099,583923
3101,584897
3104,583935
3106,584431
3108,584311
3110,585223
3112,584279
3115,585441
3117,584748
3120,584759
3122,585614
3124,584616
3126,585830
3128,585096
3130,585943
3133,584956
3135,586151
3137,585463
3139,585466
3141,586200
3143,585294
3146,586414
3148,585820
3150,586489
3152,585550
3154,586716
3156,586057
3159,586239
3162,586788
3164,585828
3166,587020
3168,586290
3170,586854
3172,585990
3175,587246
3177,586524
3179,586946
3181,587071
3183,586302
3185,587442
3188,586788
3190,587179
3192,586498
3194,587755
3196,587074
3198,587616
3201,587343
3204,586780
3206,587973
3208,587278
3210,587882
3212,586926
3214,588232
3217,587547
3219,588235
3221,587725
3223,587238
3225,588502
3227,587842
3230,588597
3232,587487
3234,588786
3236,588085
3238,588937
3240,588232
3243,587752
3246,589060
3248,588380
3250,589255
3252,588407
3254,589400
3256,588687
3259,589650
3261,588705
3263,588344
3265,589684
3267,589033
3269,590018
3272,589037
3274,589987
3276,589296
3278,590211
3280,589162
3282,588802
3286,590083
3288,589332
3290,590263
3292,589077
3294,588588
3296,588903
3298,589727
3301,588358
3303,587784
3305,588855
3307,587809
3309,588440
3311,586943
3314,586227
3316,586074
3318,586634
3320,585006
3322,584148
3324,585088
3328,583953
3330,584501
3332,582878
3334,582090
3336,583010
3338,582411
3340,580878
3343,580127
3345,580996
3347,579966
3349,580610
3351,579094
3353,578395
3356,579380
3358,579102
3360,577687
3362,577110
3364,578162
3366,577231
