1020,40.86,41.19
1028,61.31,61.97
1035,71.54,72.44
1042,76.68,77.56
1049,79.32,80.02
1057,80.87,81.3
1064,81.73,82.08
1072,81.95,82.6
1079,82.17,82.84
1086,82.26,82.99
1093,82.19,83.11
1101,82.07,83.04
1108,82.2,82.95
1116,82.18,83.08
1123,82.33,83.06
1130,82.37,83.01
1137,82.23,82.92
1145,82.16,82.93
1153,82.17,82.91
1160,82.06,83.1
1167,81.88,82.98
1174,81.94,83.06
1181,82.1,83.23
1189,82.03,82.95
1197,82.27,82.67
1204,82.38,82.43
1211,82.12,82.47
1218,82.03,82.57
1225,82.04,83.08
1233,81.87,83.55
1241,81.95,83.74
1248,81.94,83.39
1255,81.78,82.57
1262,81.69,82.01
1269,81.61,82.32
1277,81.75,82.85
1285,81.81,83.05
1292,81.8,82.9
1299,81.83,82.57
1306,81.98,82.5
1313,82.06,82.52
1321,82,82.38
1329,81.94,82.5
1336,81.92,82.6
1343,81.79,82.68
1350,81.67,82.87
1357,81.62,83.04
1364,81.65,83.14
1373,81.67,83.29
1380,81.59,83.2
1387,81.43,83.15
1394,81.63,83.06
1401,81.57,83.13
1409,81.66,83.05
1417,81.75,82.95
1424,81.82,82.78
1431,81.79,82.61
1438,81.75,82.61
1445,81.73,82.49
1453,81.57,82.33
1461,81.53,82.39
1468,81.58,82.45
1475,81.4,82.47
1482,81.46,82.54
1489,81.48,82.47
1497,81.43,82.37
1505,81.36,82.45
1512,81.2,82.57
1519,81.15,82.34
1526,81,82.02
1533,80.92,81.76
1541,80.74,82
1549,80.95,82.53
1556,81.32,82.95
1563,80.84,82.92
1570,80.88,82.43
1577,81.07,81.37
1585,81.47,80.4
1593,81.05,79.91
1600,80.57,80.58
1607,80.33,81.73
1614,80.22,82.84
1622,80.51,83.77
1629,80.47,83.6
1637,80.34,82.57
1644,80.25,81.35
1651,80.52,80.66
1658,80.71,80.61
1666,80.64,81.01
1673,80.64,81.31
1680,80.56,81.28
1688,80.56,81.18
1695,80.54,81.38
1702,80.81,81.66
1710,80.74,81.93
1717,80.63,82.02
